MONTH,TOT,ASIA,JPN,CHN,TWN,PIP,HKG,THI,MAL,SGP,IDN,IND,VET,MOL,MEAS,USB,AMRA,USA,CAN,EUPO,RUS,GER,ENG,FRA,OCEA,AUS
2010년01월,569453,427512,209184,91252,36399,21214,14545,17814,4559,5368,5061,6026,4515,3324,5533,1280,53839,43065,8776,46509,10873,7643,7521,4666,11372,8431
2010년02월,638911,510326,230362,140571,36651,20411,23051,16683,7483,5798,4922,5439,6749,3582,5180,1296,51756,41077,8503,40098,8674,6486,6470,4252,7853,5957
2010년03월,769894,594841,306126,141457,27894,27441,17924,25158,8333,7409,6030,6810,7674,3293,7188,1510,67540,54610,10001,54708,10597,10378,8782,5140,14810,12079
2010년04월,730265,553940,239075,147680,33518,26529,20217,33398,11591,8732,7516,7155,7152,2512,7288,1296,73194,59616,10708,53290,11011,8179,9356,5891,12280,9643
2010년05월,729450,547238,241695,154066,33326,29067,16384,20783,7379,8654,8030,8318,7144,2920,7237,1376,74590,59780,10883,56233,14063,8073,8003,5728,13625,10105
2010년06월,718440,531760,231718,150119,32827,24538,17649,14122,7151,11454,9837,8988,7785,3998,8037,2462,76890,64412,8962,56562,15969,7877,7423,5247,13363,10309
2010년07월,754672,570755,227541,195188,35951,27356,20458,15501,5019,5714,7747,8094,7578,3480,8583,2551,74410,59443,11314,58074,14917,8018,7563,6208,11887,9025
2010년08월,833693,654199,262157,241987,38061,25560,20996,15388,5027,5851,7083,8490,8366,4331,8265,2274,71714,56377,11374,58215,13073,8095,8555,6893,11554,8551
2010년09월,764693,589184,267886,176196,32284,26094,14306,16225,8443,7329,12649,7289,7164,4029,7163,1820,71364,56304,11036,52815,10723,8382,8219,5248,14454,11108
2010년10월,872550,666998,302570,181428,39829,25952,22027,34113,9609,10351,8723,8234,9992,3384,9282,2548,80246,63956,11856,69465,16069,10362,10494,6893,13576,10388
2010년11월,738271,571265,274889,136152,35091,20307,19618,20888,16474,12606,6940,6023,9173,3798,9008,3269,62687,49082,9845,56496,12790,8651,9026,5528,9743,7643
2010년12월,677366,531204,229806,119061,24521,22983,21407,30645,22607,23589,10701,5681,6921,3307,6528,2029,55630,45167,7956,43288,11971,5975,6098,4498,11572,9170
2011년01월,586152,440069,196301,113927,25391,23895,14925,23368,8386,5836,5497,5868,4606,3559,6416,2007,54896,44152,8297,49726,12647,6785,8322,5072,9873,7543
2011년02월,667089,525897,221318,157019,24471,22052,21758,26306,11567,5995,5651,6463,9699,3791,6870,2336,54744,43500,8822,47609,10945,6744,8815,4455,7504,5916
2011년03월,781286,601932,268355,163261,25832,27278,18555,35162,12871,7700,7437,7260,10575,4188,8878,3525,67198,54135,9964,59035,12678,9014,9253,7271,11200,8952
2011년04월,754458,566904,220142,153875,31982,31526,25814,36188,14863,9051,8281,7674,11361,3319,8572,2678,72699,58220,10980,58801,13763,8560,9725,5940,16185,13323
2011년05월,743464,553686,234626,152347,28601,29047,19389,26093,12053,8482,9696,8866,7790,3933,9099,2202,77389,61077,11569,58762,13454,8723,8396,5867,13586,10757
2011년06월,795850,615727,254872,179508,41292,28579,24973,16718,10146,12048,12281,7878,9924,3672,8357,2261,73551,61208,8969,54380,14328,7136,7132,5055,12321,9470
2011년07월,881809,696563,275317,244573,47198,26843,26482,18160,8135,6521,8996,7906,10466,3550,9505,2522,74147,60522,10280,56778,13978,8247,7846,5775,13601,10495
2011년08월,977296,787934,325927,276299,47235,27468,27048,14488,9641,6367,16775,8662,9640,4385,9321,3045,73061,57817,10967,62417,12986,8904,9598,7049,12683,9684
2011년09월,906813,725897,321231,231462,37205,29306,18788,20413,12535,9305,11615,8579,8297,4777,9949,2685,69972,56103,9963,54916,11086,8555,8032,5303,14837,11857
2011년10월,988320,771677,340172,214681,44002,34426,27720,36792,16115,11767,11498,9131,8640,4377,10801,2956,83756,65158,13401,70581,14089,10893,11373,7063,17503,14239
2011년11월,869876,693763,331721,174164,38496,29577,25670,23722,15636,13581,9577,7131,7965,4419,9332,2660,65437,51094,9917,59375,12619,9309,9189,5582,11906,9293
2011년12월,842383,682080,299069,159080,36503,27271,29727,31733,24333,27912,17170,6629,6568,4034,7063,2173,60533,48517,9094,48645,12262,6597,6963,5027,14455,10965
2012년01월,753793,595530,244370,167022,42925,26194,32206,25242,11807,7276,9634,6730,6184,4843,7630,2836,58799,46745,9202,53027,12851,6987,9528,5088,12436,9241
2012년02월,810967,651535,294317,173790,44714,25972,22179,31344,10295,6067,9066,6850,9992,4804,9910,4318,60459,47926,9782,53020,12314,7680,8988,4928,10791,8672
2012년03월,916357,733221,360719,183691,35624,20950,23598,38869,13906,9804,9682,5886,9968,5807,11081,4408,69966,55907,10718,58305,12615,9687,9879,5940,12151,9801
2012년04월,967593,766763,298656,222114,43201,32294,35563,48886,20016,12984,13529,7363,10456,4693,10615,3933,81055,64385,12297,62755,15044,9120,10245,6280,14064,10807
2012년05월,942602,742578,316598,210439,41785,32657,24263,32215,16260,13876,13926,8738,9591,5300,10880,3419,81288,64972,11677,61423,14647,9087,7902,5971,13575,10269
2012년06월,946333,748350,302383,234482,50578,27445,29202,24102,11147,16126,14045,8635,10161,5045,11165,3011,80377,66049,9552,59491,14796,8140,8006,5814,13839,10545
2012년07월,1009225,814358,299477,322917,56117,24211,31535,20436,7620,8235,9613,7580,9522,4516,10078,3162,76808,61855,11076,61209,14460,8767,8332,6447,14316,10804
2012년08월,1103311,911535,346950,359065,54741,25847,33832,20715,9615,8123,17294,8158,9167,5538,9885,3210,74014,58127,11357,60853,13434,8480,9095,7204,16057,12569
2012년09월,986961,794232,308882,283402,49629,29694,26017,27322,13159,10729,11644,9038,7980,5142,10594,3529,73705,57819,10474,60920,12991,8918,8704,6178,15863,12416
2012년10월,1025705,795686,269732,279440,48573,33324,36585,45532,17893,14737,12934,9431,9392,5433,11730,3669,90282,71213,12983,75107,15281,10840,12970,7063,17978,14468
2012년11월,842189,661592,249481,204533,39495,26828,31444,32417,20143,15469,9877,6929,7075,5315,10143,3467,67685,53249,10041,61371,15233,8560,8954,5513,11170,8621
2012년12월,834992,671752,227227,195997,40851,25930,33603,40361,26221,30647,18003,6362,7019,4680,8480,3284,61711,49619,9272,49834,13055,5996,7569,4714,14064,10599
2013년01월,753655,588953,206474,196371,45171,25710,24208,33785,9544,6984,10675,6870,5155,5941,8465,3047,61368,49071,9243,57649,15084,7424,9364,4978,12214,8951
2013년02월,815037,665493,217153,249698,45437,22005,36653,33327,13247,7946,7723,6046,9112,5812,8658,3199,57161,45102,9043,49972,12223,6943,7816,4653,8770,6522
